,player_ID,age,height,weight,intl_rep,pace,pace_sprint_speed,drib_balance,drib_reactions,drib_composure,pass_vision,def_heading,phys_jumping,phys_stamina,phys_strength,phys_aggression,gk_speed,gk_kicking,weak_foot,skill_moves,price_ps4
0,20920,24,183,79,1,91.0,91.0,52.0,67.0,39,54.0,49.0,63.0,68.0,75.0,67.0,41.43985355648535,63.61035564853557,3,3,1000.0
1,2996,26,183,75,1,72.0,74.0,64.0,66.0,67,49.0,69.0,82.0,78.0,84.0,76.0,41.43985355648535,63.61035564853557,3,2,450.0
2,12998,22,178,69,1,76.0,76.0,72.0,55.0,44,37.0,58.0,82.0,63.0,63.0,59.0,41.43985355648535,63.61035564853557,3,2,200.0
3,16112,29,182,73,1,84.0,88.0,62.0,55.0,59,60.0,50.0,78.0,49.0,66.0,64.0,41.43985355648535,63.61035564853557,3,4,350.0
4,16502,20,170,63,1,81.0,82.0,79.0,49.0,60,62.0,33.0,51.0,58.0,33.0,31.0,41.43985355648535,63.61035564853557,3,3,200.0
5,17922,23,175,66,1,78.0,78.0,78.0,72.0,65,71.0,45.0,65.0,75.0,54.0,65.0,41.43985355648535,63.61035564853557,3,3,650.0
6,19426,38,185,84,1,69.76604653945085,33.0,44.0,71.0,69,36.0,23.0,65.0,36.0,61.0,32.0,32.0,66.0,3,1,1400.0
7,235,29,186,79,3,84.0,87.0,67.0,80.0,80,78.0,78.0,82.0,86.0,75.0,59.0,41.43985355648535,63.61035564853557,5,4,7800.0
8,17386,22,171,67,1,70.0,69.0,71.0,62.0,61,64.0,52.0,73.0,66.0,45.0,61.0,41.43985355648535,63.61035564853557,3,2,2900.0
9,18169,24,175,70,1,79.0,79.0,66.0,57.0,45,41.0,66.0,74.0,73.0,68.0,68.0,41.43985355648535,63.61035564853557,3,2,2500.0
10,17705,25,188,86,2,69.76604653945085,63.0,40.0,86.0,58,60.0,14.0,58.0,38.0,68.0,35.0,64.0,84.0,3,1,4200.0
11,12178,37,180,81,1,36.0,33.0,59.0,63.0,66,68.0,65.0,62.0,40.0,65.0,71.0,41.43985355648535,63.61035564853557,3,2,200.0
12,5300,19,185,83,1,79.0,83.0,65.0,67.0,45,55.0,54.0,77.0,59.0,76.0,73.0,41.43985355648535,63.61035564853557,3,2,1300.0
13,16154,30,173,65,1,77.0,77.0,84.0,62.0,57,53.0,52.0,77.0,84.0,58.0,67.0,41.43985355648535,63.61035564853557,3,2,250.0
14,1693,34,187,76,1,69.76604653945085,43.0,46.0,72.0,26,42.0,13.0,65.0,44.0,65.0,28.0,59.0,77.0,2,1,400.0
